GPTuneBand	0, [0.2, 0.5]	1.09	0.13	1.10	0.87	1.230	1.130	1.120
HpBandster		1.07	0.19	1.19	0.95	1.260	1.150	0.790
GPTune		0.92	0.15	1.07	0.69	1.030	0.920	0.880
OpenTuner		1.05	0.26	1.49	0.89	1.060	0.880	0.910
TPE		1.08	0.27	1.25	1.37	0.690	0.930	1.160
GPTuneBand	1, [0.159, 0.545]	1.21	0.27	0.96	0.97	1.230	1.250	1.620
HpBandster		1.21	0.14	1.08	1.25	1.380	1.050	1.310
GPTune		1.01	0.15	1.24	0.96	1.020	1.010	0.820
OpenTuner		0.89	0.15	0.78	0.77	0.850	0.910	1.140
TPE		1.13	0.32	1.06	0.94	1.630	0.790	1.240
GPTuneBand	2, [0.02, 0.682]	1.04	0.01	1.03	1.02	1.040	1.060	1.040
HpBandster		0.94	0.16	0.82	0.91	0.970	0.790	1.200
GPTune		0.94	0.17	1.17	0.72	1.030	0.940	0.830
OpenTuner		2.42	2.03	2.10	1.51	1.700	5.960	0.840
TPE		1.20	0.31	1.20	1.01	0.900	1.700	1.190
GPTuneBand	3, [0.9, 0.02]	0.70	0.04	0.70	0.68	0.710	0.660	0.770
HpBandster		1.54	0.62	2.59	1.23	1.640	1.110	1.140
GPTune		0.91	0.10	0.97	0.98	0.740	0.910	0.940
OpenTuner		1.39	0.50	2.26	1.29	0.980	1.180	1.230
TPE		1.07	0.26	0.81	1.44	1.020	0.850	1.210
GPTuneBand	4, [0.7, 0.3]	1.27	0.09	1.16	1.33	1.31	1.360	1.180
HpBandster		1.18	0.24	1.47	1.05	1.040	1.410	0.940
GPTune		0.72	0.02	0.71	0.70	0.71	0.72	0.760
OpenTuner		0.86	0.42	0.71	0.60	1.56	0.91	0.500
TPE		1.21	0.29	1.11	0.84	1.31	1.14	1.630
GPTuneBand	5, [0.147, 0.739]	0.94	0.14	0.73	1.06	0.90	1.06	0.970
HpBandster		0.95	0.18	1.07	0.97	1.170	0.760	0.770
GPTune		0.97	0.05	0.93	0.97	1.050	0.970	0.940
OpenTuner		1.06	0.29	1.52	0.74	1.020	0.940	1.100
TPE		1.28	0.23	1.32	1.28	1.380	1.530	0.910
GPTuneBand	6, [0.033, 0.528]	1.08	0.02	1.09	1.09	1.04	1.080	1.100
HpBandster		1.23	0.43	0.90	1.27	1.17	0.870	1.940
GPTune		0.80	0.04	0.84	0.79	0.73	0.800	0.820
OpenTuner		1.26	0.40	1.44	0.94	1.22	1.850	0.860
TPE		1.00	0.07	0.97	1.01	1.01	1.090	0.900
GPTuneBand	7, [0.094, 0.402]	1.28	0.18	1.34	1.33	1.34	1.410	0.970
HpBandster		1.17	0.10	1.18	1.28	1.22	1.170	1.000
GPTune		0.95	0.06	1.05	0.96	0.89	0.950	0.910
OpenTuner		1.01	0.20	1.01	1.15	0.80	0.830	1.270
TPE		1.11	0.20	1.16	0.97	0.90	1.420	1.100
GPTuneBand	8, [0.698, 0.302]	0.99	0.09	1.08	0.88	0.98	0.930	1.090
HpBandster		1.05	0.17	0.97	1.14	1.06	0.820	1.280
GPTune		0.97	0.16	0.88	0.95	0.82	0.970	1.230
OpenTuner		1.24	0.33	1.26	0.85	1.66	0.990	1.420
TPE		0.96	0.23	1.12	1.10	1.14	0.710	0.710
GPTuneBand	9, [0.603, 0.0784]	1.29	0.18	1.29	1.03	1.52	1.339	1.270
HpBandster		1.11	0.32	1.20	0.74	0.84	1.530	1.240
GPTune		0.93	0.10	1.02	1.04	0.81	0.930	0.860
OpenTuner		0.95	0.36	0.89	1.35	0.40	1.180	0.920
TPE		0.83	0.08	0.87	0.80	0.75	0.940	0.770
