GPTuneBand	0, [0.023, 0.682]	0.92	0.01	0.93	0.91			
HpBandster		1.14	0.22	1.30	0.99			
GPTune		0.96	0.02	0.97	0.94			
OpenTuner		0.94	0.04	0.97	0.91			
TPE		0.87	0.13	0.96	0.78			
GPTuneBand	1, [0.159, 0.545]	0.88	0.03	0.90	0.86			
HpBandster		0.88	0.00	0.88	0.88			
GPTune		0.95	0.05	0.91	0.98			
OpenTuner		1.11	0.35	0.86	1.35			
TPE		0.90	0.23	0.73	1.06			
GPTuneBand	2, [0.306, 0.261]	0.94	0.15	1.04	0.83			
HpBandster		1.13	0.13	1.03	1.22			
GPTune		0.87	0.10	0.80	0.94			
OpenTuner		0.84	0.05	0.80	0.87			
TPE		0.87	0.01	0.87	0.86			
GPTuneBand	3, [0.136, 0.426]	1.24	0.01	1.24	1.23			
HpBandster		0.90	0.04	0.93	0.87			
GPTune		0.74	0.16	0.85	0.62			
OpenTuner		0.78	0.05	0.81	0.74			
TPE		0.94	0.15	0.83	1.04			
GPTuneBand	4, [0.007, 0.128]	0.97	0.04	0.94	1.00			
HpBandster		1.20	0.02	1.18	1.21			
GPTune		0.81	0.15	0.71	0.92			
OpenTuner		1.16	0.28	1.35	0.96			
TPE		0.97	0.09	1.04	0.91			
GPTuneBand	5, [0.147, 0.739]	0.80	0.00	0.80	0.80			
HpBandster		1.01	0.25	0.83	1.18			
GPTune		0.99	0.07	0.94	1.04			
OpenTuner		0.85	0.30	1.06	0.64			
TPE		1.07	0.30	0.86	1.28			
GPTuneBand	6, [0.033, 0.528]	0.84	0.01	0.83	0.85			
HpBandster		1.19	0.13	1.10	1.28			
GPTune		0.87	0.06	0.91	0.83			
OpenTuner		1.05	0.00	1.05	1.05			
TPE		1.15	0.04	1.18	1.12			
GPTuneBand	7, [0.094, 0.402]	0.80	0.08	0.85	0.74			
HpBandster		0.90	0.06	0.86	0.94			
GPTune		0.92	0.02	0.91	0.94			
OpenTuner		0.89	0.17	1.01	0.77			
TPE		0.84	0.01	0.85	0.83			
GPTuneBand	8, [0.698, 0.302]	1.17	0.21	1.02	1.32			
HpBandster		1.12	0.33	0.89	1.35			
GPTune		0.70	0.04	0.67	0.73			
OpenTuner		0.93	0.20	0.79	1.07			
TPE		1.01	0.15	0.91	1.12			
GPTuneBand	9, [0.603, 0.078]	0.79	0.00	0.79	0.79			
HpBandster		1.15	0.09	1.09	1.22			
GPTune		0.85	0.09	0.92	0.79			
OpenTuner		0.68	0.17	0.56	0.80			
TPE		0.94	0.17	1.06	0.82			
